,date,retweet,text,,
205,Sep 17,False,It’s time for Donald Trump to be held to the same standard of disclosure as any other major party nominee.http://hrc.io/2cERULm ,,
206,Sep 16,False,It's great to be back on the campaign trail. pic.twitter.com,,
207,Sep 16,False,The brave men and women who have served our country deserve better than Donald Trump. pic.twitter.com,,
208,Sep 16,False,126 things Donald Trump has said and done that should disqualify his candidacy: http://hrc.io/2cV7ArB ,,
209,Sep 16,False,"Trump's habit of projecting his actions onto someone else is what 6-year-olds call ""I know you are, but what am I?"" http://hrc.io/2cV2kE6 ",,
210,Sep 16,False,Donald Trump spent five years lying about @POTUS's citizenship. He can’t just take that back. pic.twitter.com,,
211,Sep 16,False,"“On November 8, you will decide whether we have a president who believes in science and will fight climate change—or not.” —@FLOTUS",,
212,Sep 16,False,"On National Prisoners of War Remembrance Day, a POW shares what it means when Trump insults veterans. pic.twitter.com",,
213,Sep 16,False,"What Trump should do: for once in his life, own up to his mistakes. Apologize to the President, and to the American people.",,
214,Sep 16,False,Trump has spent years peddling a racist conspiracy aimed at undermining the first African American president. He can't just take it back.,,
215,Sep 16,False,"Again, Trump turns his faults on others. Psychologists call it ""projecting."" Kids call it ""I'm rubber, you're glue.""https://twitter.com/HillaryClinton/status/776828281488281600 …",,
216,Sep 16,False,"When Trump tries to deflect blame for denying that @POTUS was born in America, he is lying.  http://bit.ly/1Vbp2LJ  pic.twitter.com",,
217,Sep 16,False,"Leading the birther movement is deplorable. Attempting to say it ""did a great service"" to the president who Trump attacked is asinine.",,
218,Sep 16,False,"Expressing zero regret for years of pushing a racist conspiracy theory, Trump again appointed himself judge & jury on @POTUS's citizenship.",,
219,Sep 16,False,What Trump just did is a disgrace.,,
220,Sep 16,False,Donald Trump looks at women and decides how their looks rate on a scale of one to 10.,,
221,Sep 16,False,"Barack Obama was born in America, plain and simple.

Donald Trump owes him and the American people an apology.",,
222,Sep 16,False,"""The good news is that my pneumonia finally got some Republicans interested in women’s health.” —Hillary",,
223,Sep 16,False,"Remember: Trump, the Birther-in-Chief, still refuses to even release his own tax returns and real medical records. pic.twitter.com",,
224,Sep 15,False,President Obama’s successor cannot and will not be the man who led the racist birther movement. Period.,,
225,Sep 15,False,"""When I’m under the weather, I can afford to take a few days off. Millions of Americans can’t."" Hillary in NC today:http://hrc.io/2d2f2BH ",,
226,Sep 15,False,Donald Trump still refuses to admit President Obama was born in the United States. pic.twitter.com,,
227,Sep 15,False,"Trump is running the most divisive campaign of our lifetimes.

There’s no innuendo or dog whistles anymore. It’s all out in the open now.",,
228,Sep 15,False,"Donald Trump still refuses to say @POTUS was born in America. And this man wants to be our president?

When will he stop this ugliness?",,
229,Sep 15,False,"America is one nation under God, indivisible, with liberty and justice for all. Not just for people who look or worship a certain way.",,
230,Sep 15,False,"Despite what Donald Trump may say, immigrants are not rapists and criminals.",,
231,Sep 15,False,No child should have to say goodbye to their parents every morning not knowing if mom or dad will be there when they get home.,,
232,Sep 15,False,"Supporting families with paid family leave, earned sick days, and affordable child care isn’t a luxury—it’s a necessity.",,
233,Sep 15,False,"""I intend to close my campaign the way I began my career: fighting for kids and families..it will be the passion of my presidency."" —Hillary",,
234,Sep 15,False,"""You’re not intruders. You’re our neighbors, our colleagues, our friends, our families...I see you, and I am with you."" —Hillary to @CHCI",,
